iter	Passed	Remaining
719	2602	1012
720	2604	1007
721	2606	1003
722	2607	999
723	2609	994
724	2611	990
725	2617	987
726	2619	983
727	2620	979
728	2622	974
729	2624	970
730	2625	966
731	2626	961
732	2633	959
733	2637	955
734	2639	951
735	2640	947
736	2642	942
737	2647	939
738	2649	935
739	2651	931
740	2655	928
741	2657	923
742	2663	921
743	2665	917
744	2667	912
745	2669	908
746	2671	904
747	2672	900
748	2678	897
749	2680	893
750	2682	889
751	2684	885
752	2686	881
753	2688	877
754	2693	874
755	2695	870
756	2700	867
757	2702	862
758	2704	858
759	2706	854
760	2708	850
761	2710	846
762	2712	842
763	2714	838
764	2715	834
765	2721	831
766	2723	827
767	2724	823
768	2726	819
769	2728	814
770	2731	811
771	2738	808
772	2740	804
773	2742	800
774	2744	796
775	2746	792
776	2751	789
777	2753	785
778	2754	781
779	2756	777
780	2758	773
781	2760	769
782	2763	765
783	2766	762
784	2767	758
785	2769	754
786	2771	750
787	2783	748
788	2785	744
789	2787	740
790	2788	736
791	2790	732
792	2792	728
793	2798	726
794	2801	722
795	2803	718
796	2805	714
797	2807	710
798	2819	709
799	2821	705
800	2823	701
801	2830	698
802	2833	695
803	2834	691
804	2837	687
805	2838	683
806	2860	684
807	2866	681
808	2868	677
809	2870	673
810	2875	670
811	2877	666
812	2878	662
813	2880	658
814	2882	654
815	2883	650
816	2885	646
817	2890	643
818	2892	639
819	2894	635
820	2895	631
821	2897	627
822	2899	623
823	2900	619
824	2913	618
825	2915	614
826	2919	610
827	2922	606
828	2924	603
829	2926	599
830	2928	595
831	2935	592
832	2938	589
833	2940	585
834	2952	583
835	2956	580
836	2965	577
837	2968	573
838	2979	571
839	2981	567
840	2983	564
841	2991	561
842	2993	557
843	2995	553
844	2997	549
845	2999	546
846	3015	544
847	3025	542
848	3027	538
849	3029	534
850	3031	530
851	3033	526
852	3039	523
853	3042	520
854	3045	516
855	3047	512
856	3049	508
857	3055	505
858	3057	501
859	3059	498
860	3061	494
861	3063	490
862	3089	490
863	3091	486
864	3093	482
865	3095	478
866	3100	475
867	3102	471
868	3104	467
869	3106	464
870	3114	461
871	3116	457
872	3130	455
873	3133	451
874	3134	447
875	3143	444
876	3147	441
877	3150	437
878	3154	434
879	3173	432
880	3182	429
881	3185	426
882	3187	422
883	3198	419
884	3263	424
885	3265	420
886	3268	416
887	3270	412
888	3272	408
889	3276	404
890	3278	401
891	3280	397
892	3282	393
893	3284	389
894	3291	386
895	3293	382
896	3310	380
897	3312	376
898	3314	372
899	3317	368
900	3323	365
901	3345	363
902	3347	359
903	3356	356
904	3358	352
905	3360	348
906	3362	344
907	3370	341
908	3429	343
909	3435	339
910	3437	335
911	3439	331
912	3441	327
913	3443	324
914	3445	320
915	3451	316
916	3453	312
917	3455	308
918	3457	304
919	3459	300
920	3465	297
921	3468	293
922	3470	289
923	3472	285
924	3473	281
925	3475	277
926	3480	274
927	3482	270
928	3483	266
929	3484	262
930	3486	258
931	3487	254
932	3488	250
933	3489	246
934	3491	242
935	3496	239
936	3497	235
937	3498	231
938	3500	227
939	3501	223
940	3502	219
941	3503	215
942	3505	211
943	3506	208
944	3507	204
945	3509	200
946	3510	196
947	3511	192
948	3512	188
949	3514	184
950	3515	181
951	3520	177
952	3522	173
953	3523	169
954	3525	166
955	3526	162
956	3527	158
957	3528	154
958	3529	150
959	3531	147
960	3536	143
961	3539	139
962	3542	136
963	3545	132
964	3553	128
965	3556	125
966	3559	121
967	3562	117
968	3568	114
969	3570	110
970	3572	106
971	3574	102
972	3576	99
973	3577	95
974	3584	91
975	3585	88
976	3587	84
977	3589	80
978	3591	77
979	3593	73
980	3598	69
981	3600	66
982	3602	62
983	3603	58
984	3605	54
985	3606	51
986	3607	47
987	3613	43
988	3614	40
989	3616	36
990	3617	32
991	3618	29
992	3620	25
993	3621	21
994	3622	18
995	3627	14
996	3629	10
997	3631	7
998	3634	3
999	3635	0
